1	107
2	45
3	56
4	78
5	89
6	82
7	82
8	85
9	85
10	68
11	102
12	30
13	67
14	29
15	51
16	18
17	48
18	108
19	86
20	111
21	15
22	97
23	22
24	81
25	39
26	89
27	60
28	69
29	110
30	89
31	22
32	94
33	111
34	49
35	41
36	94
37	62
38	31
39	41
40	109
41	106
42	82
43	50
44	21
45	28
46	109
47	110
48	99
49	34
50	28
51	101
52	80
53	18
54	77
55	38
56	68
57	94
58	97
59	87
60	43
61	101
62	78
63	99
64	43
65	28
66	65
67	68
68	26
69	40
70	23
71	100
72	106
73	23
74	32
75	17
76	85
77	51
78	69
79	108
80	53
81	66
82	89
83	39
84	28
85	105
86	57
87	105
88	47
89	27
90	57
91	77
92	61
93	73
94	101
95	20
96	90
97	101
98	111
99	19
100	25
